# run 1000ns
T=355000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=4 TARGET=5 next_target=5 direction=1 r_above=1 r_below=0 req=0 current_state=                       move_up | UP=1 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=365000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                       move_up | UP=1 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=375000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                  weight_check | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=385000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=395000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=405000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=415000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=425000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=435000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=445000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=455000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=465000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=475000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=485000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                    door_close | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=495000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=505000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                  weight_check | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=515000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=525000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=535000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=545000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=555000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
